,name,qid,measure,value
67890,Advanced BM25,105813,P.5,0.6
67891,Advanced BM25,105813,P.10,0.4
67892,Advanced BM25,105813,P.100,0.05
67893,Advanced BM25,105813,ndcg_cut.5,0.8215
67894,Advanced BM25,105813,ndcg_cut.10,0.8993
67895,Advanced BM25,105813,ndcg_cut.100,0.9602
68016,Advanced BM25,105877,map,0.0
68017,Advanced BM25,105877,recip_rank,0.0
68018,Advanced BM25,105877,P.5,0.0
68019,Advanced BM25,105877,P.10,0.0
68020,Advanced BM25,105877,P.100,0.0
68021,Advanced BM25,105877,ndcg_cut.5,0.0
68022,Advanced BM25,105877,ndcg_cut.10,0.0
68023,Advanced BM25,105877,ndcg_cut.100,0.0
68104,Advanced BM25,105955,map,0.2333
68105,Advanced BM25,105955,recip_rank,0.5
68106,Advanced BM25,105955,P.5,0.4
68107,Advanced BM25,105955,P.10,0.2
68108,Advanced BM25,105955,P.100,0.02
68109,Advanced BM25,105955,ndcg_cut.5,0.3211
68110,Advanced BM25,105955,ndcg_cut.10,0.3211
68111,Advanced BM25,105955,ndcg_cut.100,0.3211
68184,Advanced BM25,106004,map,0.75
68185,Advanced BM25,106004,recip_rank,1.0
68186,Advanced BM25,106004,P.5,0.4
68187,Advanced BM25,106004,P.10,0.2
68188,Advanced BM25,106004,P.100,0.02
68189,Advanced BM25,106004,ndcg_cut.5,0.9239
68190,Advanced BM25,106004,ndcg_cut.10,0.9239
68191,Advanced BM25,106004,ndcg_cut.100,0.9239
68296,Advanced BM25,106057,map,1.0
68297,Advanced BM25,106057,recip_rank,1.0
68298,Advanced BM25,106057,P.5,0.6
68299,Advanced BM25,106057,P.10,0.3
68300,Advanced BM25,106057,P.100,0.03
68301,Advanced BM25,106057,ndcg_cut.5,1.0
68302,Advanced BM25,106057,ndcg_cut.10,1.0
68303,Advanced BM25,106057,ndcg_cut.100,1.0
68368,Advanced BM25,106100,map,1.0
68369,Advanced BM25,106100,recip_rank,1.0
68370,Advanced BM25,106100,P.5,1.0
68371,Advanced BM25,106100,P.10,0.7
68372,Advanced BM25,106100,P.100,0.07
68373,Advanced BM25,106100,ndcg_cut.5,0.8558
68374,Advanced BM25,106100,ndcg_cut.10,0.8772
68375,Advanced BM25,106100,ndcg_cut.100,0.8772
60936,Advanced BM25,10615,map,1.0
60937,Advanced BM25,10615,recip_rank,1.0
60938,Advanced BM25,10615,P.5,1.0
60939,Advanced BM25,10615,P.10,1.0
60940,Advanced BM25,10615,P.100,0.16
60941,Advanced BM25,10615,ndcg_cut.5,0.6439
60942,Advanced BM25,10615,ndcg_cut.10,0.787
60943,Advanced BM25,10615,ndcg_cut.100,0.8616
57648,Advanced BM25,106581,map,0.2588
57649,Advanced BM25,106581,recip_rank,1.0
57650,Advanced BM25,106581,P.5,0.4
57651,Advanced BM25,106581,P.10,0.2
57652,Advanced BM25,106581,P.100,0.03
57653,Advanced BM25,106581,ndcg_cut.5,0.3378
57654,Advanced BM25,106581,ndcg_cut.10,0.3173
57655,Advanced BM25,106581,ndcg_cut.100,0.3755
60992,Advanced BM25,10668,map,1.0
60993,Advanced BM25,10668,recip_rank,1.0
60994,Advanced BM25,10668,P.5,1.0
60995,Advanced BM25,10668,P.10,0.5
60996,Advanced BM25,10668,P.100,0.05
60997,Advanced BM25,10668,ndcg_cut.5,1.0
60998,Advanced BM25,10668,ndcg_cut.10,1.0
60999,Advanced BM25,10668,ndcg_cut.100,1.0
57984,Advanced BM25,106760,map,0.7627
57985,Advanced BM25,106760,recip_rank,1.0
57986,Advanced BM25,106760,P.5,0.6
57987,Advanced BM25,106760,P.10,0.3
57988,Advanced BM25,106760,P.100,0.04
57989,Advanced BM25,106760,ndcg_cut.5,0.7755
57990,Advanced BM25,106760,ndcg_cut.10,0.7755
57991,Advanced BM25,106760,ndcg_cut.100,0.8199
61056,Advanced BM25,10700,map,0.7455
61057,Advanced BM25,10700,recip_rank,1.0
61058,Advanced BM25,10700,P.5,0.8
61059,Advanced BM25,10700,P.10,0.8
61060,Advanced BM25,10700,P.100,0.17
61061,Advanced BM25,10700,ndcg_cut.5,0.6578
61062,Advanced BM25,10700,ndcg_cut.10,0.6465
61063,Advanced BM25,10700,ndcg_cut.100,0.8326
58392,Advanced BM25,107029,map,0.5145
58393,Advanced BM25,107029,recip_rank,1.0
58394,Advanced BM25,107029,P.5,0.4
58395,Advanced BM25,107029,P.10,0.3
58396,Advanced BM25,107029,P.100,0.04
58397,Advanced BM25,107029,ndcg_cut.5,0.4105
58398,Advanced BM25,107029,ndcg_cut.10,0.5398
58399,Advanced BM25,107029,ndcg_cut.100,0.6023
58504,Advanced BM25,107115,map,1.0
58505,Advanced BM25,107115,recip_rank,1.0
58506,Advanced BM25,107115,P.5,0.8
58507,Advanced BM25,107115,P.10,0.4
58508,Advanced BM25,107115,P.100,0.04
58509,Advanced BM25,107115,ndcg_cut.5,0.8642
58510,Advanced BM25,107115,ndcg_cut.10,0.8642
58511,Advanced BM25,107115,ndcg_cut.100,0.8642
58552,Advanced BM25,107133,map,0.8056
58553,Advanced BM25,107133,recip_rank,1.0
58554,Advanced BM25,107133,P.5,0.6
58555,Advanced BM25,107133,P.10,0.3
58556,Advanced BM25,107133,P.100,0.03
58557,Advanced BM25,107133,ndcg_cut.5,0.936
58558,Advanced BM25,107133,ndcg_cut.10,0.936
58559,Advanced BM25,107133,ndcg_cut.100,0.936
61088,Advanced BM25,10722,map,0.013
61089,Advanced BM25,10722,recip_rank,0.0909
61090,Advanced BM25,10722,P.5,0.0
61091,Advanced BM25,10722,P.10,0.0
61092,Advanced BM25,10722,P.100,0.01
61093,Advanced BM25,10722,ndcg_cut.5,0.0
61094,Advanced BM25,10722,ndcg_cut.10,0.0
61095,Advanced BM25,10722,ndcg_cut.100,0.09
58800,Advanced BM25,107334,map,0.5
58801,Advanced BM25,107334,recip_rank,1.0
58802,Advanced BM25,107334,P.5,0.4
58803,Advanced BM25,107334,P.10,0.2
58804,Advanced BM25,107334,P.100,0.02
58805,Advanced BM25,107334,ndcg_cut.5,0.7387
58806,Advanced BM25,107334,ndcg_cut.10,0.7387
58807,Advanced BM25,107334,ndcg_cut.100,0.7387
59192,Advanced BM25,107622,map,0.0128
59193,Advanced BM25,107622,recip_rank,0.0385
59194,Advanced BM25,107622,P.5,0.0
59195,Advanced BM25,107622,P.10,0.0
59196,Advanced BM25,107622,P.100,0.01
59197,Advanced BM25,107622,ndcg_cut.5,0.0
59198,Advanced BM25,107622,ndcg_cut.10,0.0
59199,Advanced BM25,107622,ndcg_cut.100,0.0672
59504,Advanced BM25,107898,map,0.0047
59505,Advanced BM25,107898,recip_rank,0.0141
59506,Advanced BM25,107898,P.5,0.0
59507,Advanced BM25,107898,P.10,0.0
59508,Advanced BM25,107898,P.100,0.01
59509,Advanced BM25,107898,ndcg_cut.5,0.0
59510,Advanced BM25,107898,ndcg_cut.10,0.0
59511,Advanced BM25,107898,ndcg_cut.100,0.1035
59640,Advanced BM25,108000,map,0.2208
59641,Advanced BM25,108000,recip_rank,0.3333
59642,Advanced BM25,108000,P.5,0.4
59643,Advanced BM25,108000,P.10,0.2
59644,Advanced BM25,108000,P.100,0.03
59645,Advanced BM25,108000,ndcg_cut.5,0.2714
59646,Advanced BM25,108000,ndcg_cut.10,0.2714
59647,Advanced BM25,108000,ndcg_cut.100,0.3685
59656,Advanced BM25,108015,map,1.0
59657,Advanced BM25,108015,recip_rank,1.0
59658,Advanced BM25,108015,P.5,1.0
59659,Advanced BM25,108015,P.10,0.6
59660,Advanced BM25,108015,P.100,0.06
59661,Advanced BM25,108015,ndcg_cut.5,1.0
59662,Advanced BM25,108015,ndcg_cut.10,1.0
59663,Advanced BM25,108015,ndcg_cut.100,1.0
61216,Advanced BM25,10806,map,1.0
61217,Advanced BM25,10806,recip_rank,1.0
61218,Advanced BM25,10806,P.5,1.0
61219,Advanced BM25,10806,P.10,1.0
61220,Advanced BM25,10806,P.100,0.1
61221,Advanced BM25,10806,ndcg_cut.5,0.8734
61222,Advanced BM25,10806,ndcg_cut.10,0.9098
61223,Advanced BM25,10806,ndcg_cut.100,0.9098
61272,Advanced BM25,10839,map,0.4347
61273,Advanced BM25,10839,recip_rank,1.0
61274,Advanced BM25,10839,P.5,0.8
61275,Advanced BM25,10839,P.10,0.5
61276,Advanced BM25,10839,P.100,0.1
61277,Advanced BM25,10839,ndcg_cut.5,0.5848
61278,Advanced BM25,10839,ndcg_cut.10,0.5302
61279,Advanced BM25,10839,ndcg_cut.100,0.6697
61320,Advanced BM25,10882,map,1.0
61321,Advanced BM25,10882,recip_rank,1.0
61322,Advanced BM25,10882,P.5,1.0
61323,Advanced BM25,10882,P.10,0.7
61324,Advanced BM25,10882,P.100,0.07
61325,Advanced BM25,10882,ndcg_cut.5,0.9065
61326,Advanced BM25,10882,ndcg_cut.10,0.9204
61327,Advanced BM25,10882,ndcg_cut.100,0.9204
61344,Advanced BM25,10894,map,0.8042
61345,Advanced BM25,10894,recip_rank,1.0
61346,Advanced BM25,10894,P.5,0.8
61347,Advanced BM25,10894,P.10,0.4
61348,Advanced BM25,10894,P.100,0.04
61349,Advanced BM25,10894,ndcg_cut.5,0.7593
61350,Advanced BM25,10894,ndcg_cut.10,0.7593
61351,Advanced BM25,10894,ndcg_cut.100,0.7593
61352,Advanced BM25,10897,map,0.8851
61353,Advanced BM25,10897,recip_rank,1.0
61354,Advanced BM25,10897,P.5,1.0
61355,Advanced BM25,10897,P.10,0.7
61356,Advanced BM25,10897,P.100,0.08
61357,Advanced BM25,10897,ndcg_cut.5,0.8558
61358,Advanced BM25,10897,ndcg_cut.10,0.8214
61359,Advanced BM25,10897,ndcg_cut.100,0.8518
61368,Advanced BM25,10907,map,0.741
61369,Advanced BM25,10907,recip_rank,1.0
61370,Advanced BM25,10907,P.5,0.8
61371,Advanced BM25,10907,P.10,0.6
61372,Advanced BM25,10907,P.100,0.07
61373,Advanced BM25,10907,ndcg_cut.5,0.9152
